chipped:andesite_1,chipped:polished_andesite
chipped:andesite_2,chipped:tiny_brick_bordered_andesite
chipped:andesite_3,chipped:engraved_andesite
chipped:andesite_4,chipped:andesite_pillar_top
chipped:andesite_5,chipped:unamused_andesite
chipped:andesite_6,chipped:thick_inlayed_andesite
chipped:andesite_7,chipped:rough_andesite
chipped:andesite_8,chipped:layed_andesite_bricks
chipped:andesite_9,chipped:pillar_andesite_bricks
chipped:andesite_10,chipped:tiny_layered_andesite_bricks
chipped:andesite_11,chipped:spider_andesite_carving
chipped:andesite_12,chipped:duh_andesite
chipped:andesite_13,chipped:brick_bordered_andesite
chipped:andesite_14,chipped:offset_andesite_bricks
chipped:andesite_15,chipped:andesite_bricks
chipped:andesite_16,chipped:andesite_mini_tiles
chipped:andesite_17,chipped:sad_andesite
chipped:andesite_18,chipped:crying_andesite
chipped:andesite_19,chipped:cut_blank_andesite
chipped:andesite_20,chipped:glad_andesite
chipped:andesite_21,chipped:cobbled_andesite
chipped:andesite_22,chipped:edged_andesite_bricks
chipped:andesite_23,chipped:creeper_andesite_carving
chipped:andesite_24,chipped:eroded_andesite
chipped:andesite_25,chipped:etched_andesite_bricks
chipped:andesite_26,chipped:flat_andesite_tiles
chipped:andesite_27,chipped:inlayed_andesite
chipped:andesite_28,chipped:inscribed_andesite
chipped:andesite_29,chipped:bordered_andesite
chipped:andesite_30,chipped:loded_andesite
chipped:andesite_31,chipped:cracked_disordered_andesite_bricks
chipped:andesite_32,chipped:overlapping_andesite_tiles
chipped:andesite_33,chipped:cracked_andesite_bricks
chipped:andesite_34,chipped:cracked_flat_andesite_tiles
chipped:andesite_35,chipped:prismal_andesite_remnants
chipped:andesite_36,chipped:blank_andesite_carving
chipped:andesite_37,chipped:rounded_andesite_bricks
chipped:andesite_38,chipped:runic_carved_andesite
chipped:andesite_39,chipped:cut_andesite_column
chipped:andesite_40,chipped:sanded_andesite
chipped:andesite_41,chipped:small_andesite_bricks
chipped:andesite_42,chipped:smooth_andesite_column
chipped:andesite_43,chipped:smooth_inlayed_andesite
chipped:andesite_44,chipped:smooth_ringed_andesite
chipped:andesite_45,chipped:smoothed_double_inlayed_andesite
chipped:andesite_46,chipped:checkered_andesite_tiles
chipped:andesite_47,chipped:spiraled_andesite
chipped:andesite_48,chipped:stacked_andesite_bricks
chipped:andesite_49,chipped:angry_andesite
chipped:andesite_50,chipped:tiled_andesite
chipped:andesite_51,chipped:tiled_andesite_column
chipped:andesite_52,chipped:tiled_bordered_andesite
chipped:andesite_53,chipped:tiny_andesite_bricks
chipped:andesite_54,chipped:carved_andesite
chipped:andesite_55,chipped:tiny_layered_andesite_slabs
chipped:andesite_56,chipped:simple_andesite_pillar
chipped:andesite_57,chipped:trodden_andesite
chipped:andesite_58,chipped:andesite_scales
chipped:andesite_59,chipped:vertical_cut_andesite
chipped:andesite_60,chipped:vertical_disordered_andesite_bricks
chipped:andesite_61,chipped:weathered_andesite
chipped:andesite_62,chipped:massive_andesite_bricks
chipped:andesite_63,chipped:curly_andesite_pillar
chipped:andesite_64,chipped:fine_andesite_pillar
chipped:andesite_65,
chipped:andesite_66,
chipped:andesite_67,
chipped:andesite_68,
chipped:andesite_69,
