chipped:blue_ice_1,chipped:polished_blue_ice
chipped:blue_ice_2,chipped:tiny_brick_bordered_blue_ice
chipped:blue_ice_3,chipped:engraved_blue_ice
chipped:blue_ice_4,chipped:blue_ice_pillar_top
chipped:blue_ice_5,chipped:unamused_blue_ice
chipped:blue_ice_6,chipped:thick_inlayed_blue_ice
chipped:blue_ice_7,chipped:rough_blue_ice
chipped:blue_ice_8,chipped:layed_blue_ice_bricks
chipped:blue_ice_9,chipped:pillar_blue_ice_bricks
chipped:blue_ice_10,chipped:tiny_layered_blue_ice_bricks
chipped:blue_ice_11,chipped:spider_blue_ice_carving
chipped:blue_ice_12,chipped:duh_blue_ice
chipped:blue_ice_13,chipped:brick_bordered_blue_ice
chipped:blue_ice_14,chipped:offset_blue_ice_bricks
chipped:blue_ice_15,chipped:blue_ice_bricks
chipped:blue_ice_16,chipped:blue_ice_mini_tiles
chipped:blue_ice_17,chipped:sad_blue_ice
chipped:blue_ice_18,chipped:crying_blue_ice
chipped:blue_ice_19,chipped:cut_blank_blue_ice
chipped:blue_ice_20,chipped:glad_blue_ice
chipped:blue_ice_21,chipped:cobbled_blue_ice
chipped:blue_ice_22,chipped:edged_blue_ice_bricks
chipped:blue_ice_23,chipped:creeper_blue_ice_carving
chipped:blue_ice_24,chipped:eroded_blue_ice
chipped:blue_ice_25,chipped:etched_blue_ice_bricks
chipped:blue_ice_26,chipped:flat_blue_ice_tiles
chipped:blue_ice_27,chipped:inlayed_blue_ice
chipped:blue_ice_28,chipped:inscribed_blue_ice
chipped:blue_ice_29,chipped:bordered_blue_ice
chipped:blue_ice_30,chipped:loded_blue_ice
chipped:blue_ice_31,chipped:cracked_disordered_blue_ice_bricks
chipped:blue_ice_32,chipped:overlapping_blue_ice_tiles
chipped:blue_ice_33,chipped:cracked_blue_ice_bricks
chipped:blue_ice_34,chipped:cracked_flat_blue_ice_tiles
chipped:blue_ice_35,chipped:prismal_blue_ice_remnants
chipped:blue_ice_36,chipped:blank_blue_ice_carving
chipped:blue_ice_37,chipped:rounded_blue_ice_bricks
chipped:blue_ice_38,chipped:runic_carved_blue_ice
chipped:blue_ice_39,chipped:cut_blue_ice_column
chipped:blue_ice_40,chipped:sanded_blue_ice
chipped:blue_ice_41,chipped:small_blue_ice_bricks
chipped:blue_ice_42,chipped:smooth_blue_ice_column
chipped:blue_ice_43,chipped:smooth_inlayed_blue_ice
chipped:blue_ice_44,chipped:smooth_ringed_blue_ice
chipped:blue_ice_45,chipped:smoothed_double_inlayed_blue_ice
chipped:blue_ice_46,chipped:checkered_blue_ice_tiles
chipped:blue_ice_47,chipped:spiraled_blue_ice
chipped:blue_ice_48,chipped:stacked_blue_ice_bricks
chipped:blue_ice_49,chipped:angry_blue_ice
chipped:blue_ice_50,chipped:tiled_blue_ice
chipped:blue_ice_51,chipped:tiled_blue_ice_column
chipped:blue_ice_52,chipped:tiled_bordered_blue_ice
chipped:blue_ice_53,chipped:tiny_blue_ice_bricks
chipped:blue_ice_54,chipped:carved_blue_ice
chipped:blue_ice_55,chipped:tiny_layered_blue_ice_slabs
chipped:blue_ice_56,chipped:simple_blue_ice_pillar
chipped:blue_ice_57,chipped:trodden_blue_ice
chipped:blue_ice_58,chipped:blue_ice_scales
chipped:blue_ice_59,chipped:vertical_cut_blue_ice
chipped:blue_ice_60,chipped:vertical_disordered_blue_ice_bricks
chipped:blue_ice_61,chipped:weathered_blue_ice
chipped:blue_ice_62,chipped:massive_blue_ice_bricks
chipped:blue_ice_63,chipped:curly_blue_ice_pillar
chipped:blue_ice_64,chipped:fine_blue_ice_pillar
chipped:blue_ice_65,
chipped:blue_ice_66,
chipped:blue_ice_67,
chipped:blue_ice_68,
chipped:blue_ice_69,
