chipped:dark_prismarine_1,chipped:polished_dark_prismarine
chipped:dark_prismarine_2,chipped:tiny_brick_bordered_dark_prismarine
chipped:dark_prismarine_3,chipped:engraved_dark_prismarine
chipped:dark_prismarine_4,chipped:dark_prismarine_pillar_top
chipped:dark_prismarine_5,chipped:unamused_dark_prismarine
chipped:dark_prismarine_6,chipped:thick_inlayed_dark_prismarine
chipped:dark_prismarine_7,chipped:rough_dark_prismarine
chipped:dark_prismarine_8,chipped:layed_dark_prismarine_bricks
chipped:dark_prismarine_9,chipped:pillar_dark_prismarine_bricks
chipped:dark_prismarine_10,chipped:tiny_layered_dark_prismarine_bricks
chipped:dark_prismarine_11,chipped:spider_dark_prismarine_carving
chipped:dark_prismarine_12,chipped:duh_dark_prismarine
chipped:dark_prismarine_13,chipped:brick_bordered_dark_prismarine
chipped:dark_prismarine_14,chipped:offset_dark_prismarine_bricks
chipped:dark_prismarine_15,chipped:dark_prismarine_bricks
chipped:dark_prismarine_16,chipped:tiled_bordered_dark_prismarine
chipped:dark_prismarine_17,chipped:sad_dark_prismarine
chipped:dark_prismarine_18,chipped:crying_dark_prismarine
chipped:dark_prismarine_19,chipped:cut_blank_dark_prismarine
chipped:dark_prismarine_20,chipped:glad_dark_prismarine
chipped:dark_prismarine_21,chipped:cobbled_dark_prismarine
chipped:dark_prismarine_22,chipped:edged_dark_prismarine_bricks
chipped:dark_prismarine_23,chipped:creeper_dark_prismarine_carving
chipped:dark_prismarine_24,chipped:eroded_dark_prismarine
chipped:dark_prismarine_25,chipped:etched_dark_prismarine_bricks
chipped:dark_prismarine_26,chipped:flat_dark_prismarine_tiles
chipped:dark_prismarine_27,chipped:inlayed_dark_prismarine
chipped:dark_prismarine_28,chipped:inscribed_dark_prismarine
chipped:dark_prismarine_29,chipped:bordered_dark_prismarine
chipped:dark_prismarine_30,chipped:loded_dark_prismarine
chipped:dark_prismarine_31,chipped:cracked_disordered_dark_prismarine_bricks
chipped:dark_prismarine_32,chipped:overlapping_dark_prismarine_tiles
chipped:dark_prismarine_33,chipped:cracked_dark_prismarine_bricks
chipped:dark_prismarine_34,chipped:cracked_flat_dark_prismarine_tiles
chipped:dark_prismarine_35,chipped:prismal_dark_prismarine_remnants
chipped:dark_prismarine_36,chipped:blank_dark_prismarine_carving
chipped:dark_prismarine_37,chipped:rounded_dark_prismarine_bricks
chipped:dark_prismarine_38,chipped:runic_carved_dark_prismarine
chipped:dark_prismarine_39,chipped:cut_dark_prismarine_column
chipped:dark_prismarine_40,chipped:sanded_dark_prismarine
chipped:dark_prismarine_41,chipped:small_dark_prismarine_bricks
chipped:dark_prismarine_42,chipped:smooth_dark_prismarine_column
chipped:dark_prismarine_43,chipped:smooth_inlayed_dark_prismarine
chipped:dark_prismarine_44,chipped:smooth_ringed_dark_prismarine
chipped:dark_prismarine_45,chipped:smoothed_double_inlayed_dark_prismarine
chipped:dark_prismarine_46,chipped:checkered_dark_prismarine_tiles
chipped:dark_prismarine_47,chipped:spiraled_dark_prismarine
chipped:dark_prismarine_48,chipped:stacked_dark_prismarine_bricks
chipped:dark_prismarine_49,chipped:angry_dark_prismarine
chipped:dark_prismarine_50,chipped:tiled_dark_prismarine
chipped:dark_prismarine_51,chipped:tiled_dark_prismarine_column
chipped:dark_prismarine_52,chipped:tiled_bordered_dark_prismarine
chipped:dark_prismarine_53,chipped:tiny_dark_prismarine_bricks
chipped:dark_prismarine_54,chipped:carved_dark_prismarine
chipped:dark_prismarine_55,chipped:tiny_layered_dark_prismarine_slabs
chipped:dark_prismarine_56,chipped:simple_dark_prismarine_pillar
chipped:dark_prismarine_57,chipped:trodden_dark_prismarine
chipped:dark_prismarine_58,chipped:dark_prismarine_scales
chipped:dark_prismarine_59,chipped:vertical_cut_dark_prismarine
chipped:dark_prismarine_60,chipped:vertical_disordered_dark_prismarine_bricks
chipped:dark_prismarine_61,chipped:weathered_dark_prismarine
chipped:dark_prismarine_62,chipped:massive_dark_prismarine_bricks
chipped:dark_prismarine_63,chipped:curly_dark_prismarine_pillar
chipped:dark_prismarine_64,chipped:fine_dark_prismarine_pillar
chipped:dark_prismarine_65,
chipped:dark_prismarine_66,
chipped:dark_prismarine_67,
chipped:dark_prismarine_68,
chipped:dark_prismarine_69,
