chipped:diamond_block_1,chipped:sheet_diamond_block
chipped:diamond_block_2,chipped:diamond_block_panels
chipped:diamond_block_3,chipped:pressed_diamond_block
chipped:diamond_block_4,chipped:reinforced_diamond_block
chipped:diamond_block_5,chipped:stacked_diamond_block
chipped:diamond_block_6,chipped:layered_diamond_block
chipped:diamond_block_7,chipped:shuttered_diamond_block
chipped:diamond_block_8,chipped:chipped_diamond_block
chipped:diamond_block_9,chipped:engraved_diamond_block
chipped:diamond_block_10,chipped:plated_diamond_block
chipped:diamond_block_11,chipped:ancient_diamond_block
chipped:diamond_block_12,chipped:polished_diamond_block
