chipped:emerald_block_1,chipped:sheet_emerald_block
chipped:emerald_block_2,chipped:emerald_block_panels
chipped:emerald_block_3,chipped:pressed_emerald_block
chipped:emerald_block_4,chipped:reinforced_emerald_block
chipped:emerald_block_5,chipped:stacked_emerald_block
chipped:emerald_block_6,chipped:layered_emerald_block
chipped:emerald_block_7,chipped:shuttered_emerald_block
chipped:emerald_block_8,chipped:chipped_emerald_block
chipped:emerald_block_9,chipped:engraved_emerald_block
chipped:emerald_block_10,chipped:plated_emerald_block
chipped:emerald_block_11,chipped:ancient_emerald_block
chipped:emerald_block_12,chipped:polished_emerald_block
