chipped:glowstone_1,chipped:broken_glowstone
chipped:glowstone_3,chipped:framed_glowstone_lantern
chipped:glowstone_4,chipped:tiled_glowstone_pillar
chipped:glowstone_5,chipped:cracked_glowstone
chipped:glowstone_6,chipped:hived_glowstone
chipped:glowstone_7,chipped:smooth_glowstone
chipped:glowstone_8,chipped:glowstone_lantern
chipped:glowstone_9,chipped:shimmering_glowstone
chipped:glowstone_10,chipped:patterned_glowstone
chipped:glowstone_11,chipped:inlayed_glowstone
chipped:glowstone_12,chipped:polished_glowstone
chipped:glowstone_13,chipped:edged_glowstone_lantern
chipped:glowstone_14,chipped:bulbed_glowstone
chipped:glowstone_15,chipped:wither_engraved_glowstone
chipped:glowstone_16,chipped:double_inlayed_glowstone
chipped:glowstone_17,chipped:thick_inlayed_glowstone
chipped:glowstone_18,chipped:fancy_glowstone_lantern
chipped:glowstone_19,chipped:ornate_glowstone_lantern
chipped:glowstone_20,chipped:nether_engraved_glowstone
