chipped:gold_block_1,chipped:sheet_gold_block
chipped:gold_block_2,chipped:gold_block_panels
chipped:gold_block_3,chipped:pressed_gold_block
chipped:gold_block_4,chipped:reinforced_gold_block
chipped:gold_block_5,chipped:stacked_gold_block
chipped:gold_block_6,chipped:layered_gold_block
chipped:gold_block_7,chipped:shuttered_gold_block
chipped:gold_block_8,chipped:chipped_gold_block
chipped:gold_block_9,chipped:engraved_gold_block
chipped:gold_block_10,chipped:plated_gold_block
chipped:gold_block_11,chipped:ancient_gold_block
chipped:gold_block_12,chipped:polished_gold_block
