chipped:lapis_block_1,chipped:polished_lapis_block
chipped:lapis_block_2,chipped:tiny_brick_bordered_lapis_block
chipped:lapis_block_3,chipped:engraved_lapis_block
chipped:lapis_block_4,chipped:lapis_block_pillar_top
chipped:lapis_block_5,chipped:unamused_lapis_block
chipped:lapis_block_6,chipped:thick_inlayed_lapis_block
chipped:lapis_block_7,chipped:rough_lapis_block
chipped:lapis_block_8,chipped:layed_lapis_block_bricks
chipped:lapis_block_9,chipped:pillar_lapis_block_bricks
chipped:lapis_block_10,chipped:tiny_layered_lapis_block_bricks
chipped:lapis_block_11,chipped:spider_lapis_block_carving
chipped:lapis_block_12,chipped:duh_lapis_block
chipped:lapis_block_13,chipped:brick_bordered_lapis_block
chipped:lapis_block_14,chipped:offset_lapis_block_bricks
chipped:lapis_block_15,chipped:lapis_block_bricks
chipped:lapis_block_16,chipped:lapis_block_mini_tiles
chipped:lapis_block_17,chipped:sad_lapis_block
chipped:lapis_block_18,chipped:crying_lapis_block
chipped:lapis_block_19,chipped:cut_blank_lapis_block
chipped:lapis_block_20,chipped:glad_lapis_block
chipped:lapis_block_21,chipped:cobbled_lapis_block
chipped:lapis_block_22,chipped:edged_lapis_block_bricks
chipped:lapis_block_23,chipped:creeper_lapis_block_carving
chipped:lapis_block_24,chipped:eroded_lapis_block
chipped:lapis_block_25,chipped:etched_lapis_block_bricks
chipped:lapis_block_26,chipped:flat_lapis_block_tiles
chipped:lapis_block_27,chipped:inlayed_lapis_block
chipped:lapis_block_28,chipped:inscribed_lapis_block
chipped:lapis_block_29,chipped:bordered_lapis_block
chipped:lapis_block_30,chipped:loded_lapis_block
chipped:lapis_block_31,chipped:cracked_disordered_lapis_block_bricks
chipped:lapis_block_32,chipped:overlapping_lapis_block_tiles
chipped:lapis_block_33,chipped:cracked_lapis_block_bricks
chipped:lapis_block_34,chipped:cracked_flat_lapis_block_tiles
chipped:lapis_block_35,chipped:prismal_lapis_block_remnants
chipped:lapis_block_36,chipped:blank_lapis_block_carving
chipped:lapis_block_37,chipped:rounded_lapis_block_bricks
chipped:lapis_block_38,chipped:runic_carved_lapis_block
chipped:lapis_block_39,chipped:cut_lapis_block_column
chipped:lapis_block_40,chipped:sanded_lapis_block
chipped:lapis_block_41,chipped:small_lapis_block_bricks
chipped:lapis_block_42,chipped:smooth_lapis_block_column
chipped:lapis_block_43,chipped:smooth_inlayed_lapis_block
chipped:lapis_block_44,chipped:smooth_ringed_lapis_block
chipped:lapis_block_45,chipped:smoothed_double_inlayed_lapis_block
chipped:lapis_block_46,chipped:checkered_lapis_block_tiles
chipped:lapis_block_47,chipped:spiraled_lapis_block
chipped:lapis_block_48,chipped:stacked_lapis_block_bricks
chipped:lapis_block_49,chipped:angry_lapis_block
chipped:lapis_block_50,chipped:tiled_lapis_block
chipped:lapis_block_51,chipped:tiled_lapis_block_column
chipped:lapis_block_52,chipped:tiled_bordered_lapis_block
chipped:lapis_block_53,chipped:tiny_lapis_block_bricks
chipped:lapis_block_54,chipped:carved_lapis_block
chipped:lapis_block_55,chipped:tiny_layered_lapis_block_slabs
chipped:lapis_block_56,chipped:simple_lapis_block_pillar
chipped:lapis_block_57,chipped:trodden_lapis_block
chipped:lapis_block_58,chipped:lapis_block_scales
chipped:lapis_block_59,chipped:vertical_cut_lapis_block
chipped:lapis_block_60,chipped:vertical_disordered_lapis_block_bricks
chipped:lapis_block_61,chipped:weathered_lapis_block
chipped:lapis_block_62,chipped:massive_lapis_block_bricks
chipped:lapis_block_63,chipped:curly_lapis_block_pillar
chipped:lapis_block_64,chipped:fine_lapis_block_pillar
chipped:lapis_block_65,
chipped:lapis_block_66,
chipped:lapis_block_67,
chipped:lapis_block_68,
chipped:lapis_block_69,
