chipped:light_blue_concrete_1,chipped:grid_light_blue_concrete
chipped:light_blue_concrete_2,chipped:light_blue_concrete_bricks
chipped:light_blue_concrete_3,chipped:light_blue_concrete_tiles
chipped:light_blue_concrete_4,chipped:stacked_light_blue_concrete
chipped:light_blue_concrete_5,chipped:smooth_light_blue_concrete
chipped:light_blue_concrete_6,chipped:pegged_light_blue_concrete
chipped:light_blue_concrete_7,chipped:light_blue_concrete_panel
chipped:light_blue_concrete_8,chipped:creeper_light_blue_concrete
chipped:light_blue_concrete_9,chipped:warning_light_blue_concrete
chipped:light_blue_concrete_10,chipped:hazard_light_blue_concrete
chipped:light_blue_concrete_11,chipped:rusted_light_blue_concrete
chipped:light_blue_concrete_12,chipped:reinforced_light_blue_concrete
chipped:light_blue_concrete_13,chipped:bolted_light_blue_concrete
chipped:light_blue_concrete_14,chipped:railed_light_blue_concrete
chipped:light_blue_concrete_15,chipped:grill_light_blue_concrete
chipped:light_blue_concrete_16,chipped:wired_light_blue_concrete
chipped:light_blue_concrete_17,chipped:stop_light_blue_concrete
chipped:light_blue_concrete_18,chipped:mosaic_light_blue_concrete
chipped:light_blue_concrete_19,chipped:striped_light_blue_concrete
chipped:light_blue_concrete_20,chipped:smooth_light_blue_concrete
chipped:light_blue_concrete_21,chipped:framed_light_blue_concrete
