chipped:mossy_cobblestone_1,chipped:polished_mossy_cobblestone
chipped:mossy_cobblestone_2,chipped:tiny_brick_bordered_mossy_cobblestone
chipped:mossy_cobblestone_3,chipped:engraved_mossy_cobblestone
chipped:mossy_cobblestone_4,chipped:mossy_cobblestone_pillar_top
chipped:mossy_cobblestone_5,chipped:unamused_mossy_cobblestone
chipped:mossy_cobblestone_6,chipped:thick_inlayed_mossy_cobblestone
chipped:mossy_cobblestone_7,chipped:rough_mossy_cobblestone
chipped:mossy_cobblestone_8,chipped:layed_mossy_cobblestone_bricks
chipped:mossy_cobblestone_9,chipped:pillar_mossy_cobblestone_bricks
chipped:mossy_cobblestone_10,chipped:tiny_layered_mossy_cobblestone_bricks
chipped:mossy_cobblestone_11,chipped:spider_mossy_cobblestone_carving
chipped:mossy_cobblestone_12,chipped:duh_mossy_cobblestone
chipped:mossy_cobblestone_13,chipped:brick_bordered_mossy_cobblestone
chipped:mossy_cobblestone_14,chipped:offset_mossy_cobblestone_bricks
chipped:mossy_cobblestone_15,chipped:mossy_cobblestone_bricks
chipped:mossy_cobblestone_16,chipped:mossy_cobblestone_mini_tiles
chipped:mossy_cobblestone_17,chipped:sad_mossy_cobblestone
chipped:mossy_cobblestone_18,chipped:crying_mossy_cobblestone
chipped:mossy_cobblestone_19,chipped:cut_blank_mossy_cobblestone
chipped:mossy_cobblestone_20,chipped:glad_mossy_cobblestone
chipped:mossy_cobblestone_21,chipped:cobbled_mossy_cobblestone
chipped:mossy_cobblestone_22,chipped:edged_mossy_cobblestone_bricks
chipped:mossy_cobblestone_23,chipped:creeper_mossy_cobblestone_carving
chipped:mossy_cobblestone_24,chipped:eroded_mossy_cobblestone
chipped:mossy_cobblestone_25,chipped:etched_mossy_cobblestone_bricks
chipped:mossy_cobblestone_26,chipped:flat_mossy_cobblestone_tiles
chipped:mossy_cobblestone_27,chipped:inlayed_mossy_cobblestone
chipped:mossy_cobblestone_28,chipped:inscribed_mossy_cobblestone
chipped:mossy_cobblestone_29,chipped:bordered_mossy_cobblestone
chipped:mossy_cobblestone_30,chipped:loded_mossy_cobblestone
chipped:mossy_cobblestone_31,chipped:cracked_disordered_mossy_cobblestone_bricks
chipped:mossy_cobblestone_32,chipped:overlapping_mossy_cobblestone_tiles
chipped:mossy_cobblestone_33,chipped:cracked_mossy_cobblestone_bricks
chipped:mossy_cobblestone_34,chipped:cracked_flat_mossy_cobblestone_tiles
chipped:mossy_cobblestone_35,chipped:prismal_mossy_cobblestone_remnants
chipped:mossy_cobblestone_36,chipped:blank_mossy_cobblestone_carving
chipped:mossy_cobblestone_37,chipped:rounded_mossy_cobblestone_bricks
chipped:mossy_cobblestone_38,chipped:runic_carved_mossy_cobblestone
chipped:mossy_cobblestone_39,chipped:cut_mossy_cobblestone_column
chipped:mossy_cobblestone_40,chipped:sanded_mossy_cobblestone
chipped:mossy_cobblestone_41,chipped:small_mossy_cobblestone_bricks
chipped:mossy_cobblestone_42,chipped:smooth_mossy_cobblestone_column
chipped:mossy_cobblestone_43,chipped:smooth_inlayed_mossy_cobblestone
chipped:mossy_cobblestone_44,chipped:smooth_ringed_mossy_cobblestone
chipped:mossy_cobblestone_45,chipped:smoothed_double_inlayed_mossy_cobblestone
chipped:mossy_cobblestone_46,chipped:checkered_mossy_cobblestone_tiles
chipped:mossy_cobblestone_47,chipped:spiraled_mossy_cobblestone
chipped:mossy_cobblestone_48,chipped:stacked_mossy_cobblestone_bricks
chipped:mossy_cobblestone_49,chipped:angry_mossy_cobblestone
chipped:mossy_cobblestone_50,chipped:tiled_mossy_cobblestone
chipped:mossy_cobblestone_51,chipped:tiled_mossy_cobblestone_column
chipped:mossy_cobblestone_52,chipped:tiled_bordered_mossy_cobblestone
chipped:mossy_cobblestone_53,chipped:tiny_mossy_cobblestone_bricks
chipped:mossy_cobblestone_54,chipped:carved_mossy_cobblestone
chipped:mossy_cobblestone_55,chipped:tiny_layered_mossy_cobblestone_slabs
chipped:mossy_cobblestone_56,chipped:simple_mossy_cobblestone_pillar
chipped:mossy_cobblestone_57,chipped:trodden_mossy_cobblestone
chipped:mossy_cobblestone_58,chipped:mossy_cobblestone_scales
chipped:mossy_cobblestone_59,chipped:vertical_cut_mossy_cobblestone
chipped:mossy_cobblestone_60,chipped:vertical_disordered_mossy_cobblestone_bricks
chipped:mossy_cobblestone_61,chipped:weathered_mossy_cobblestone
chipped:mossy_cobblestone_62,chipped:massive_mossy_cobblestone_bricks
chipped:mossy_cobblestone_63,chipped:curly_mossy_cobblestone_pillar
chipped:mossy_cobblestone_64,chipped:fine_mossy_cobblestone_pillar
chipped:mossy_cobblestone_65,
chipped:mossy_cobblestone_66,
chipped:mossy_cobblestone_67,
chipped:mossy_cobblestone_68,
chipped:mossy_cobblestone_69,
