chipped:mossy_stone_bricks_1,chipped:polished_mossy_stone_bricks
chipped:mossy_stone_bricks_2,chipped:tiny_brick_bordered_mossy_stone_bricks
chipped:mossy_stone_bricks_3,chipped:engraved_mossy_stone_bricks
chipped:mossy_stone_bricks_4,chipped:mossy_stone_bricks_pillar_top
chipped:mossy_stone_bricks_5,chipped:unamused_mossy_stone_bricks
chipped:mossy_stone_bricks_6,chipped:thick_inlayed_mossy_stone_bricks
chipped:mossy_stone_bricks_7,chipped:rough_mossy_stone_bricks
chipped:mossy_stone_bricks_8,chipped:layed_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_9,chipped:pillar_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_10,chipped:tiny_layered_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_11,chipped:spider_mossy_stone_bricks_carving
chipped:mossy_stone_bricks_12,chipped:duh_mossy_stone_bricks
chipped:mossy_stone_bricks_13,chipped:brick_bordered_mossy_stone_bricks
chipped:mossy_stone_bricks_14,chipped:offset_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_15,chipped:mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_16,chipped:mossy_stone_bricks_mini_tiles
chipped:mossy_stone_bricks_17,chipped:sad_mossy_stone_bricks
chipped:mossy_stone_bricks_18,chipped:crying_mossy_stone_bricks
chipped:mossy_stone_bricks_19,chipped:cut_blank_mossy_stone_bricks
chipped:mossy_stone_bricks_20,chipped:glad_mossy_stone_bricks
chipped:mossy_stone_bricks_21,chipped:cobbled_mossy_stone_bricks
chipped:mossy_stone_bricks_22,chipped:edged_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_23,chipped:creeper_mossy_stone_bricks_carving
chipped:mossy_stone_bricks_24,chipped:eroded_mossy_stone_bricks
chipped:mossy_stone_bricks_25,chipped:etched_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_26,chipped:flat_mossy_stone_bricks_tiles
chipped:mossy_stone_bricks_27,chipped:inlayed_mossy_stone_bricks
chipped:mossy_stone_bricks_28,chipped:inscribed_mossy_stone_bricks
chipped:mossy_stone_bricks_29,chipped:bordered_mossy_stone_bricks
chipped:mossy_stone_bricks_30,chipped:loded_mossy_stone_bricks
chipped:mossy_stone_bricks_31,chipped:cracked_disordered_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_32,chipped:overlapping_mossy_stone_bricks_tiles
chipped:mossy_stone_bricks_33,chipped:cracked_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_34,chipped:cracked_flat_mossy_stone_bricks_tiles
chipped:mossy_stone_bricks_35,chipped:prismal_mossy_stone_bricks_remnants
chipped:mossy_stone_bricks_36,chipped:blank_mossy_stone_bricks_carving
chipped:mossy_stone_bricks_37,chipped:rounded_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_38,chipped:runic_carved_mossy_stone_bricks
chipped:mossy_stone_bricks_39,chipped:cut_mossy_stone_bricks_column
chipped:mossy_stone_bricks_40,chipped:sanded_mossy_stone_bricks
chipped:mossy_stone_bricks_41,chipped:small_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_42,chipped:smooth_mossy_stone_bricks_column
chipped:mossy_stone_bricks_43,chipped:smooth_inlayed_mossy_stone_bricks
chipped:mossy_stone_bricks_44,chipped:smooth_ringed_mossy_stone_bricks
chipped:mossy_stone_bricks_45,chipped:smoothed_double_inlayed_mossy_stone_bricks
chipped:mossy_stone_bricks_46,chipped:checkered_mossy_stone_bricks_tiles
chipped:mossy_stone_bricks_47,chipped:spiraled_mossy_stone_bricks
chipped:mossy_stone_bricks_48,chipped:stacked_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_49,chipped:angry_mossy_stone_bricks
chipped:mossy_stone_bricks_50,chipped:tiled_mossy_stone_bricks
chipped:mossy_stone_bricks_51,chipped:tiled_mossy_stone_bricks_column
chipped:mossy_stone_bricks_52,chipped:tiled_bordered_mossy_stone_bricks
chipped:mossy_stone_bricks_53,chipped:tiny_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_54,chipped:carved_mossy_stone_bricks
chipped:mossy_stone_bricks_55,chipped:tiny_layered_mossy_stone_bricks_slabs
chipped:mossy_stone_bricks_56,chipped:simple_mossy_stone_bricks_pillar
chipped:mossy_stone_bricks_57,chipped:trodden_mossy_stone_bricks
chipped:mossy_stone_bricks_58,chipped:mossy_stone_bricks_scales
chipped:mossy_stone_bricks_59,chipped:vertical_cut_mossy_stone_bricks
chipped:mossy_stone_bricks_60,chipped:vertical_disordered_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_61,chipped:weathered_mossy_stone_bricks
chipped:mossy_stone_bricks_62,chipped:massive_mossy_stone_bricks_bricks
chipped:mossy_stone_bricks_63,chipped:curly_mossy_stone_bricks_pillar
chipped:mossy_stone_bricks_64,chipped:fine_mossy_stone_bricks_pillar
chipped:mossy_stone_bricks_65,
chipped:mossy_stone_bricks_66,
chipped:mossy_stone_bricks_67,
chipped:mossy_stone_bricks_68,
chipped:mossy_stone_bricks_69,
