chipped:nether_bricks_1,chipped:polished_nether_bricks
chipped:nether_bricks_2,chipped:tiny_brick_bordered_nether_bricks
chipped:nether_bricks_3,chipped:engraved_nether_bricks
chipped:nether_bricks_4,chipped:nether_bricks_pillar_top
chipped:nether_bricks_5,chipped:unamused_nether_bricks
chipped:nether_bricks_6,chipped:thick_inlayed_nether_bricks
chipped:nether_bricks_7,chipped:rough_nether_bricks
chipped:nether_bricks_8,chipped:layed_nether_bricks_bricks
chipped:nether_bricks_9,chipped:pillar_nether_bricks_bricks
chipped:nether_bricks_10,chipped:tiny_layered_nether_bricks_bricks
chipped:nether_bricks_11,chipped:spider_nether_bricks_carving
chipped:nether_bricks_12,chipped:duh_nether_bricks
chipped:nether_bricks_13,chipped:brick_bordered_nether_bricks
chipped:nether_bricks_14,chipped:offset_nether_bricks_bricks
chipped:nether_bricks_15,chipped:nether_bricks_bricks
chipped:nether_bricks_16,chipped:nether_bricks_mini_tiles
chipped:nether_bricks_17,chipped:sad_nether_bricks
chipped:nether_bricks_18,chipped:crying_nether_bricks
chipped:nether_bricks_19,chipped:cut_blank_nether_bricks
chipped:nether_bricks_20,chipped:glad_nether_bricks
chipped:nether_bricks_21,chipped:cobbled_nether_bricks
chipped:nether_bricks_22,chipped:edged_nether_bricks_bricks
chipped:nether_bricks_23,chipped:creeper_nether_bricks_carving
chipped:nether_bricks_24,chipped:eroded_nether_bricks
chipped:nether_bricks_25,chipped:etched_nether_bricks_bricks
chipped:nether_bricks_26,chipped:flat_nether_bricks_tiles
chipped:nether_bricks_27,chipped:inlayed_nether_bricks
chipped:nether_bricks_28,chipped:inscribed_nether_bricks
chipped:nether_bricks_29,chipped:bordered_nether_bricks
chipped:nether_bricks_30,chipped:loded_nether_bricks
chipped:nether_bricks_31,chipped:cracked_disordered_nether_bricks_bricks
chipped:nether_bricks_32,chipped:overlapping_nether_bricks_tiles
chipped:nether_bricks_33,chipped:cracked_nether_bricks_bricks
chipped:nether_bricks_34,chipped:cracked_flat_nether_bricks_tiles
chipped:nether_bricks_35,chipped:prismal_nether_bricks_remnants
chipped:nether_bricks_36,chipped:blank_nether_bricks_carving
chipped:nether_bricks_37,chipped:rounded_nether_bricks_bricks
chipped:nether_bricks_38,chipped:runic_carved_nether_bricks
chipped:nether_bricks_39,chipped:cut_nether_bricks_column
chipped:nether_bricks_40,chipped:sanded_nether_bricks
chipped:nether_bricks_41,chipped:small_nether_bricks_bricks
chipped:nether_bricks_42,chipped:smooth_nether_bricks_column
chipped:nether_bricks_43,chipped:smooth_inlayed_nether_bricks
chipped:nether_bricks_44,chipped:smooth_ringed_nether_bricks
chipped:nether_bricks_45,chipped:smoothed_double_inlayed_nether_bricks
chipped:nether_bricks_46,chipped:checkered_nether_bricks_tiles
chipped:nether_bricks_47,chipped:spiraled_nether_bricks
chipped:nether_bricks_48,chipped:stacked_nether_bricks_bricks
chipped:nether_bricks_49,chipped:angry_nether_bricks
chipped:nether_bricks_50,chipped:tiled_nether_bricks
chipped:nether_bricks_51,chipped:tiled_nether_bricks_column
chipped:nether_bricks_52,chipped:tiled_bordered_nether_bricks
chipped:nether_bricks_53,chipped:tiny_nether_bricks_bricks
chipped:nether_bricks_54,chipped:carved_nether_bricks
chipped:nether_bricks_55,chipped:tiny_layered_nether_bricks_slabs
chipped:nether_bricks_56,chipped:simple_nether_bricks_pillar
chipped:nether_bricks_57,chipped:trodden_nether_bricks
chipped:nether_bricks_58,chipped:nether_bricks_scales
chipped:nether_bricks_59,chipped:vertical_cut_nether_bricks
chipped:nether_bricks_60,chipped:vertical_disordered_nether_bricks_bricks
chipped:nether_bricks_61,chipped:weathered_nether_bricks
chipped:nether_bricks_62,chipped:massive_nether_bricks_bricks
chipped:nether_bricks_63,chipped:curly_nether_bricks_pillar
chipped:nether_bricks_64,chipped:fine_nether_bricks_pillar
chipped:nether_bricks_65,
chipped:nether_bricks_66,
chipped:nether_bricks_67,
chipped:nether_bricks_68,
chipped:nether_bricks_69,
