chipped:prismarine_1,chipped:polished_prismarine
chipped:prismarine_2,chipped:tiny_brick_bordered_prismarine
chipped:prismarine_3,chipped:engraved_prismarine
chipped:prismarine_4,chipped:prismarine_pillar_top
chipped:prismarine_5,chipped:unamused_prismarine
chipped:prismarine_6,chipped:thick_inlayed_prismarine
chipped:prismarine_7,chipped:rough_prismarine
chipped:prismarine_8,chipped:layed_prismarine_bricks
chipped:prismarine_9,chipped:pillar_prismarine_bricks
chipped:prismarine_10,chipped:tiny_layered_prismarine_bricks
chipped:prismarine_11,chipped:spider_prismarine_carving
chipped:prismarine_12,chipped:duh_prismarine
chipped:prismarine_13,chipped:brick_bordered_prismarine
chipped:prismarine_14,chipped:offset_prismarine_bricks
chipped:prismarine_15,chipped:prismarine_bricks
chipped:prismarine_16,chipped:tiled_bordered_prismarine
chipped:prismarine_17,chipped:sad_prismarine
chipped:prismarine_18,chipped:crying_prismarine
chipped:prismarine_19,chipped:cut_blank_prismarine
chipped:prismarine_20,chipped:glad_prismarine
chipped:prismarine_21,chipped:cobbled_prismarine
chipped:prismarine_22,chipped:edged_prismarine_bricks
chipped:prismarine_23,chipped:creeper_prismarine_carving
chipped:prismarine_24,chipped:eroded_prismarine
chipped:prismarine_25,chipped:etched_prismarine_bricks
chipped:prismarine_26,chipped:flat_prismarine_tiles
chipped:prismarine_27,chipped:inlayed_prismarine
chipped:prismarine_28,chipped:inscribed_prismarine
chipped:prismarine_29,chipped:bordered_prismarine
chipped:prismarine_30,chipped:loded_prismarine
chipped:prismarine_31,chipped:cracked_disordered_prismarine_bricks
chipped:prismarine_32,chipped:overlapping_prismarine_tiles
chipped:prismarine_33,chipped:cracked_prismarine_bricks
chipped:prismarine_34,chipped:cracked_flat_prismarine_tiles
chipped:prismarine_35,chipped:prismal_prismarine_remnants
chipped:prismarine_36,chipped:blank_prismarine_carving
chipped:prismarine_37,chipped:rounded_prismarine_bricks
chipped:prismarine_38,chipped:runic_carved_prismarine
chipped:prismarine_39,chipped:cut_prismarine_column
chipped:prismarine_40,chipped:sanded_prismarine
chipped:prismarine_41,chipped:small_prismarine_bricks
chipped:prismarine_42,chipped:smooth_prismarine_column
chipped:prismarine_43,chipped:smooth_inlayed_prismarine
chipped:prismarine_44,chipped:smooth_ringed_prismarine
chipped:prismarine_45,chipped:smoothed_double_inlayed_prismarine
chipped:prismarine_46,chipped:checkered_prismarine_tiles
chipped:prismarine_47,chipped:spiraled_prismarine
chipped:prismarine_48,chipped:stacked_prismarine_bricks
chipped:prismarine_49,chipped:angry_prismarine
chipped:prismarine_50,chipped:tiled_prismarine
chipped:prismarine_51,chipped:tiled_prismarine_column
chipped:prismarine_52,chipped:tiled_bordered_prismarine
chipped:prismarine_53,chipped:tiny_prismarine_bricks
chipped:prismarine_54,chipped:carved_prismarine
chipped:prismarine_55,chipped:tiny_layered_prismarine_slabs
chipped:prismarine_56,chipped:simple_prismarine_pillar
chipped:prismarine_57,chipped:trodden_prismarine
chipped:prismarine_58,chipped:prismarine_scales
chipped:prismarine_59,chipped:vertical_cut_prismarine
chipped:prismarine_60,chipped:vertical_disordered_prismarine_bricks
chipped:prismarine_61,chipped:weathered_prismarine
chipped:prismarine_62,chipped:massive_prismarine_bricks
chipped:prismarine_63,chipped:curly_prismarine_pillar
chipped:prismarine_64,chipped:fine_prismarine_pillar
chipped:prismarine_65,
chipped:prismarine_66,
chipped:prismarine_67,
chipped:prismarine_68,
chipped:prismarine_69,
