chipped:purple_concrete_1,chipped:grid_purple_concrete
chipped:purple_concrete_2,chipped:purple_concrete_bricks
chipped:purple_concrete_3,chipped:purple_concrete_tiles
chipped:purple_concrete_4,chipped:stacked_purple_concrete
chipped:purple_concrete_5,chipped:smooth_purple_concrete
chipped:purple_concrete_6,chipped:pegged_purple_concrete
chipped:purple_concrete_7,chipped:purple_concrete_panel
chipped:purple_concrete_8,chipped:creeper_purple_concrete
chipped:purple_concrete_9,chipped:warning_purple_concrete
chipped:purple_concrete_10,chipped:hazard_purple_concrete
chipped:purple_concrete_11,chipped:rusted_purple_concrete
chipped:purple_concrete_12,chipped:reinforced_purple_concrete
chipped:purple_concrete_13,chipped:bolted_purple_concrete
chipped:purple_concrete_14,chipped:railed_purple_concrete
chipped:purple_concrete_15,chipped:grill_purple_concrete
chipped:purple_concrete_16,chipped:wired_purple_concrete
chipped:purple_concrete_17,chipped:stop_purple_concrete
chipped:purple_concrete_18,chipped:mosaic_purple_concrete
chipped:purple_concrete_19,chipped:striped_purple_concrete
chipped:purple_concrete_20,chipped:smooth_purple_concrete
chipped:purple_concrete_21,chipped:framed_purple_concrete
