chipped:purpur_block_1,chipped:polished_purpur_block
chipped:purpur_block_2,chipped:tiny_brick_bordered_purpur_block
chipped:purpur_block_3,chipped:engraved_purpur_block
chipped:purpur_block_4,chipped:purpur_block_pillar_top
chipped:purpur_block_5,chipped:unamused_purpur_block
chipped:purpur_block_6,chipped:thick_inlayed_purpur_block
chipped:purpur_block_7,chipped:rough_purpur_block
chipped:purpur_block_8,chipped:layed_purpur_block_bricks
chipped:purpur_block_9,chipped:pillar_purpur_block_bricks
chipped:purpur_block_10,chipped:tiny_layered_purpur_block_bricks
chipped:purpur_block_11,chipped:spider_purpur_block_carving
chipped:purpur_block_12,chipped:duh_purpur_block
chipped:purpur_block_13,chipped:brick_bordered_purpur_block
chipped:purpur_block_14,chipped:offset_purpur_block_bricks
chipped:purpur_block_15,chipped:purpur_block_bricks
chipped:purpur_block_16,chipped:purpur_block_mini_tiles
chipped:purpur_block_17,chipped:sad_purpur_block
chipped:purpur_block_18,chipped:crying_purpur_block
chipped:purpur_block_19,chipped:cut_blank_purpur_block
chipped:purpur_block_20,chipped:glad_purpur_block
chipped:purpur_block_21,chipped:cobbled_purpur_block
chipped:purpur_block_22,chipped:edged_purpur_block_bricks
chipped:purpur_block_23,chipped:creeper_purpur_block_carving
chipped:purpur_block_24,chipped:eroded_purpur_block
chipped:purpur_block_25,chipped:etched_purpur_block_bricks
chipped:purpur_block_26,chipped:flat_purpur_block_tiles
chipped:purpur_block_27,chipped:inlayed_purpur_block
chipped:purpur_block_28,chipped:inscribed_purpur_block
chipped:purpur_block_29,chipped:bordered_purpur_block
chipped:purpur_block_30,chipped:loded_purpur_block
chipped:purpur_block_31,chipped:cracked_disordered_purpur_block_bricks
chipped:purpur_block_32,chipped:overlapping_purpur_block_tiles
chipped:purpur_block_33,chipped:cracked_purpur_block_bricks
chipped:purpur_block_34,chipped:cracked_flat_purpur_block_tiles
chipped:purpur_block_35,chipped:prismal_purpur_block_remnants
chipped:purpur_block_36,chipped:blank_purpur_block_carving
chipped:purpur_block_37,chipped:rounded_purpur_block_bricks
chipped:purpur_block_38,chipped:runic_carved_purpur_block
chipped:purpur_block_39,chipped:cut_purpur_block_column
chipped:purpur_block_40,chipped:sanded_purpur_block
chipped:purpur_block_41,chipped:small_purpur_block_bricks
chipped:purpur_block_42,chipped:smooth_purpur_block_column
chipped:purpur_block_43,chipped:smooth_inlayed_purpur_block
chipped:purpur_block_44,chipped:smooth_ringed_purpur_block
chipped:purpur_block_45,chipped:smoothed_double_inlayed_purpur_block
chipped:purpur_block_46,chipped:checkered_purpur_block_tiles
chipped:purpur_block_47,chipped:spiraled_purpur_block
chipped:purpur_block_48,chipped:stacked_purpur_block_bricks
chipped:purpur_block_49,chipped:angry_purpur_block
chipped:purpur_block_50,chipped:tiled_purpur_block
chipped:purpur_block_51,chipped:tiled_purpur_block_column
chipped:purpur_block_52,chipped:tiled_bordered_purpur_block
chipped:purpur_block_53,chipped:tiny_purpur_block_bricks
chipped:purpur_block_54,chipped:carved_purpur_block
chipped:purpur_block_55,chipped:tiny_layered_purpur_block_slabs
chipped:purpur_block_56,chipped:simple_purpur_block_pillar
chipped:purpur_block_57,chipped:trodden_purpur_block
chipped:purpur_block_58,chipped:purpur_block_scales
chipped:purpur_block_59,chipped:vertical_cut_purpur_block
chipped:purpur_block_60,chipped:vertical_disordered_purpur_block_bricks
chipped:purpur_block_61,chipped:weathered_purpur_block
chipped:purpur_block_62,chipped:massive_purpur_block_bricks
chipped:purpur_block_63,chipped:curly_purpur_block_pillar
chipped:purpur_block_64,chipped:fine_purpur_block_pillar
chipped:purpur_block_65,
chipped:purpur_block_66,
chipped:purpur_block_67,
chipped:purpur_block_68,
chipped:purpur_block_69,
