chipped:raw_gold_block_1,chipped:polished_raw_gold_block
chipped:raw_gold_block_2,chipped:tiny_brick_bordered_raw_gold_block
chipped:raw_gold_block_3,chipped:engraved_raw_gold_block
chipped:raw_gold_block_4,chipped:raw_gold_block_pillar_top
chipped:raw_gold_block_5,chipped:unamused_raw_gold_block
chipped:raw_gold_block_6,chipped:thick_inlayed_raw_gold_block
chipped:raw_gold_block_7,chipped:rough_raw_gold_block
chipped:raw_gold_block_8,chipped:layed_raw_gold_block_bricks
chipped:raw_gold_block_9,chipped:pillar_raw_gold_block_bricks
chipped:raw_gold_block_10,chipped:tiny_layered_raw_gold_block_bricks
chipped:raw_gold_block_11,chipped:spider_raw_gold_block_carving
chipped:raw_gold_block_12,chipped:duh_raw_gold_block
chipped:raw_gold_block_13,chipped:brick_bordered_raw_gold_block
chipped:raw_gold_block_14,chipped:offset_raw_gold_block_bricks
chipped:raw_gold_block_15,chipped:raw_gold_block_bricks
chipped:raw_gold_block_16,chipped:raw_gold_block_mini_tiles
chipped:raw_gold_block_17,chipped:sad_raw_gold_block
chipped:raw_gold_block_18,chipped:crying_raw_gold_block
chipped:raw_gold_block_19,chipped:cut_blank_raw_gold_block
chipped:raw_gold_block_20,chipped:glad_raw_gold_block
chipped:raw_gold_block_21,chipped:cobbled_raw_gold_block
chipped:raw_gold_block_22,chipped:edged_raw_gold_block_bricks
chipped:raw_gold_block_23,chipped:creeper_raw_gold_block_carving
chipped:raw_gold_block_24,chipped:eroded_raw_gold_block
chipped:raw_gold_block_25,chipped:etched_raw_gold_block_bricks
chipped:raw_gold_block_26,chipped:flat_raw_gold_block_tiles
chipped:raw_gold_block_27,chipped:inlayed_raw_gold_block
chipped:raw_gold_block_28,chipped:inscribed_raw_gold_block
chipped:raw_gold_block_29,chipped:bordered_raw_gold_block
chipped:raw_gold_block_30,chipped:loded_raw_gold_block
chipped:raw_gold_block_31,chipped:cracked_disordered_raw_gold_block_bricks
chipped:raw_gold_block_32,chipped:overlapping_raw_gold_block_tiles
chipped:raw_gold_block_33,chipped:cracked_raw_gold_block_bricks
chipped:raw_gold_block_34,chipped:cracked_flat_raw_gold_block_tiles
chipped:raw_gold_block_35,chipped:prismal_raw_gold_block_remnants
chipped:raw_gold_block_36,chipped:blank_raw_gold_block_carving
chipped:raw_gold_block_37,chipped:rounded_raw_gold_block_bricks
chipped:raw_gold_block_38,chipped:runic_carved_raw_gold_block
chipped:raw_gold_block_39,chipped:cut_raw_gold_block_column
chipped:raw_gold_block_40,chipped:sanded_raw_gold_block
chipped:raw_gold_block_41,chipped:small_raw_gold_block_bricks
chipped:raw_gold_block_42,chipped:smooth_raw_gold_block_column
chipped:raw_gold_block_43,chipped:smooth_inlayed_raw_gold_block
chipped:raw_gold_block_44,chipped:smooth_ringed_raw_gold_block
chipped:raw_gold_block_45,chipped:smoothed_double_inlayed_raw_gold_block
chipped:raw_gold_block_46,chipped:checkered_raw_gold_block_tiles
chipped:raw_gold_block_47,chipped:spiraled_raw_gold_block
chipped:raw_gold_block_48,chipped:stacked_raw_gold_block_bricks
chipped:raw_gold_block_49,chipped:angry_raw_gold_block
chipped:raw_gold_block_50,chipped:tiled_raw_gold_block
chipped:raw_gold_block_51,chipped:tiled_raw_gold_block_column
chipped:raw_gold_block_52,chipped:tiled_bordered_raw_gold_block
chipped:raw_gold_block_53,chipped:tiny_raw_gold_block_bricks
chipped:raw_gold_block_54,chipped:carved_raw_gold_block
chipped:raw_gold_block_55,chipped:tiny_layered_raw_gold_block_slabs
chipped:raw_gold_block_56,chipped:simple_raw_gold_block_pillar
chipped:raw_gold_block_57,chipped:trodden_raw_gold_block
chipped:raw_gold_block_58,chipped:raw_gold_block_scales
chipped:raw_gold_block_59,chipped:vertical_cut_raw_gold_block
chipped:raw_gold_block_60,chipped:vertical_disordered_raw_gold_block_bricks
chipped:raw_gold_block_61,chipped:weathered_raw_gold_block
chipped:raw_gold_block_62,chipped:massive_raw_gold_block_bricks
chipped:raw_gold_block_63,chipped:curly_raw_gold_block_pillar
chipped:raw_gold_block_64,chipped:fine_raw_gold_block_pillar
chipped:raw_gold_block_65,
chipped:raw_gold_block_66,
chipped:raw_gold_block_67,
chipped:raw_gold_block_68,
chipped:raw_gold_block_69,
