chipped:redstone_block_1,chipped:polished_redstone_block
chipped:redstone_block_2,chipped:tiny_brick_bordered_redstone_block
chipped:redstone_block_3,chipped:engraved_redstone_block
chipped:redstone_block_4,chipped:redstone_block_pillar_top
chipped:redstone_block_5,chipped:unamused_redstone_block
chipped:redstone_block_6,chipped:thick_inlayed_redstone_block
chipped:redstone_block_7,chipped:rough_redstone_block
chipped:redstone_block_8,chipped:layed_redstone_block_bricks
chipped:redstone_block_9,chipped:pillar_redstone_block_bricks
chipped:redstone_block_10,chipped:tiny_layered_redstone_block_bricks
chipped:redstone_block_11,chipped:spider_redstone_block_carving
chipped:redstone_block_12,chipped:duh_redstone_block
chipped:redstone_block_13,chipped:brick_bordered_redstone_block
chipped:redstone_block_14,chipped:offset_redstone_block_bricks
chipped:redstone_block_15,chipped:redstone_block_bricks
chipped:redstone_block_16,chipped:redstone_block_mini_tiles
chipped:redstone_block_17,chipped:sad_redstone_block
chipped:redstone_block_18,chipped:crying_redstone_block
chipped:redstone_block_19,chipped:cut_blank_redstone_block
chipped:redstone_block_20,chipped:glad_redstone_block
chipped:redstone_block_21,chipped:cobbled_redstone_block
chipped:redstone_block_22,chipped:edged_redstone_block_bricks
chipped:redstone_block_23,chipped:creeper_redstone_block_carving
chipped:redstone_block_24,chipped:eroded_redstone_block
chipped:redstone_block_25,chipped:etched_redstone_block_bricks
chipped:redstone_block_26,chipped:flat_redstone_block_tiles
chipped:redstone_block_27,chipped:inlayed_redstone_block
chipped:redstone_block_28,chipped:inscribed_redstone_block
chipped:redstone_block_29,chipped:bordered_redstone_block
chipped:redstone_block_30,chipped:loded_redstone_block
chipped:redstone_block_31,chipped:cracked_disordered_redstone_block_bricks
chipped:redstone_block_32,chipped:overlapping_redstone_block_tiles
chipped:redstone_block_33,chipped:cracked_redstone_block_bricks
chipped:redstone_block_34,chipped:cracked_flat_redstone_block_tiles
chipped:redstone_block_35,chipped:prismal_redstone_block_remnants
chipped:redstone_block_36,chipped:blank_redstone_block_carving
chipped:redstone_block_37,chipped:rounded_redstone_block_bricks
chipped:redstone_block_38,chipped:runic_carved_redstone_block
chipped:redstone_block_39,chipped:cut_redstone_block_column
chipped:redstone_block_40,chipped:sanded_redstone_block
chipped:redstone_block_41,chipped:small_redstone_block_bricks
chipped:redstone_block_42,chipped:smooth_redstone_block_column
chipped:redstone_block_43,chipped:smooth_inlayed_redstone_block
chipped:redstone_block_44,chipped:smooth_ringed_redstone_block
chipped:redstone_block_45,chipped:smoothed_double_inlayed_redstone_block
chipped:redstone_block_46,chipped:checkered_redstone_block_tiles
chipped:redstone_block_47,chipped:spiraled_redstone_block
chipped:redstone_block_48,chipped:stacked_redstone_block_bricks
chipped:redstone_block_49,chipped:angry_redstone_block
chipped:redstone_block_50,chipped:tiled_redstone_block
chipped:redstone_block_51,chipped:tiled_redstone_block_column
chipped:redstone_block_52,chipped:tiled_bordered_redstone_block
chipped:redstone_block_53,chipped:tiny_redstone_block_bricks
chipped:redstone_block_54,chipped:carved_redstone_block
chipped:redstone_block_55,chipped:tiny_layered_redstone_block_slabs
chipped:redstone_block_56,chipped:simple_redstone_block_pillar
chipped:redstone_block_57,chipped:trodden_redstone_block
chipped:redstone_block_58,chipped:redstone_block_scales
chipped:redstone_block_59,chipped:vertical_cut_redstone_block
chipped:redstone_block_60,chipped:vertical_disordered_redstone_block_bricks
chipped:redstone_block_61,chipped:weathered_redstone_block
chipped:redstone_block_62,chipped:massive_redstone_block_bricks
chipped:redstone_block_63,chipped:curly_redstone_block_pillar
chipped:redstone_block_64,chipped:fine_redstone_block_pillar
chipped:redstone_block_65,
chipped:redstone_block_66,
chipped:redstone_block_67,
chipped:redstone_block_68,
chipped:redstone_block_69,
