chipped:smooth_stone_1,chipped:polished_smooth_stone
chipped:smooth_stone_2,chipped:tiny_brick_bordered_smooth_stone
chipped:smooth_stone_3,chipped:engraved_smooth_stone
chipped:smooth_stone_4,chipped:smooth_stone_pillar_top
chipped:smooth_stone_5,chipped:unamused_smooth_stone
chipped:smooth_stone_6,chipped:thick_inlayed_smooth_stone
chipped:smooth_stone_7,chipped:rough_smooth_stone
chipped:smooth_stone_8,chipped:layed_smooth_stone_bricks
chipped:smooth_stone_9,chipped:pillar_smooth_stone_bricks
chipped:smooth_stone_10,chipped:tiny_layered_smooth_stone_bricks
chipped:smooth_stone_11,chipped:spider_smooth_stone_carving
chipped:smooth_stone_12,chipped:duh_smooth_stone
chipped:smooth_stone_13,chipped:brick_bordered_smooth_stone
chipped:smooth_stone_14,chipped:offset_smooth_stone_bricks
chipped:smooth_stone_15,chipped:smooth_stone_bricks
chipped:smooth_stone_16,chipped:smooth_stone_mini_tiles
chipped:smooth_stone_17,chipped:sad_smooth_stone
chipped:smooth_stone_18,chipped:crying_smooth_stone
chipped:smooth_stone_19,chipped:cut_blank_smooth_stone
chipped:smooth_stone_20,chipped:glad_smooth_stone
chipped:smooth_stone_21,chipped:cobbled_smooth_stone
chipped:smooth_stone_22,chipped:edged_smooth_stone_bricks
chipped:smooth_stone_23,chipped:creeper_smooth_stone_carving
chipped:smooth_stone_24,chipped:eroded_smooth_stone
chipped:smooth_stone_25,chipped:etched_smooth_stone_bricks
chipped:smooth_stone_26,chipped:flat_smooth_stone_tiles
chipped:smooth_stone_27,chipped:inlayed_smooth_stone
chipped:smooth_stone_28,chipped:inscribed_smooth_stone
chipped:smooth_stone_29,chipped:bordered_smooth_stone
chipped:smooth_stone_30,chipped:loded_smooth_stone
chipped:smooth_stone_31,chipped:cracked_disordered_smooth_stone_bricks
chipped:smooth_stone_32,chipped:overlapping_smooth_stone_tiles
chipped:smooth_stone_33,chipped:cracked_smooth_stone_bricks
chipped:smooth_stone_34,chipped:cracked_flat_smooth_stone_tiles
chipped:smooth_stone_35,chipped:prismal_smooth_stone_remnants
chipped:smooth_stone_36,chipped:blank_smooth_stone_carving
chipped:smooth_stone_37,chipped:rounded_smooth_stone_bricks
chipped:smooth_stone_38,chipped:runic_carved_smooth_stone
chipped:smooth_stone_39,chipped:cut_smooth_stone_column
chipped:smooth_stone_40,chipped:sanded_smooth_stone
chipped:smooth_stone_41,chipped:small_smooth_stone_bricks
chipped:smooth_stone_42,chipped:smooth_smooth_stone_column
chipped:smooth_stone_43,chipped:smooth_inlayed_smooth_stone
chipped:smooth_stone_44,chipped:smooth_ringed_smooth_stone
chipped:smooth_stone_45,chipped:smoothed_double_inlayed_smooth_stone
chipped:smooth_stone_46,chipped:checkered_smooth_stone_tiles
chipped:smooth_stone_47,chipped:spiraled_smooth_stone
chipped:smooth_stone_48,chipped:stacked_smooth_stone_bricks
chipped:smooth_stone_49,chipped:angry_smooth_stone
chipped:smooth_stone_50,chipped:tiled_smooth_stone
chipped:smooth_stone_51,chipped:tiled_smooth_stone_column
chipped:smooth_stone_52,chipped:tiled_bordered_smooth_stone
chipped:smooth_stone_53,chipped:tiny_smooth_stone_bricks
chipped:smooth_stone_54,chipped:carved_smooth_stone
chipped:smooth_stone_55,chipped:tiny_layered_smooth_stone_slabs
chipped:smooth_stone_56,chipped:simple_smooth_stone_pillar
chipped:smooth_stone_57,chipped:trodden_smooth_stone
chipped:smooth_stone_58,chipped:smooth_stone_scales
chipped:smooth_stone_59,chipped:vertical_cut_smooth_stone
chipped:smooth_stone_60,chipped:vertical_disordered_smooth_stone_bricks
chipped:smooth_stone_61,chipped:weathered_smooth_stone
chipped:smooth_stone_62,chipped:massive_smooth_stone_bricks
chipped:smooth_stone_63,chipped:curly_smooth_stone_pillar
chipped:smooth_stone_64,chipped:fine_smooth_stone_pillar
chipped:smooth_stone_65,
chipped:smooth_stone_66,
chipped:smooth_stone_67,
chipped:smooth_stone_68,
chipped:smooth_stone_69,
