chipped:yellow_concrete_1,chipped:grid_yellow_concrete
chipped:yellow_concrete_2,chipped:yellow_concrete_bricks
chipped:yellow_concrete_3,chipped:yellow_concrete_tiles
chipped:yellow_concrete_4,chipped:stacked_yellow_concrete
chipped:yellow_concrete_5,chipped:smooth_yellow_concrete
chipped:yellow_concrete_6,chipped:pegged_yellow_concrete
chipped:yellow_concrete_7,chipped:yellow_concrete_panel
chipped:yellow_concrete_8,chipped:creeper_yellow_concrete
chipped:yellow_concrete_9,chipped:warning_yellow_concrete
chipped:yellow_concrete_10,chipped:hazard_yellow_concrete
chipped:yellow_concrete_11,chipped:rusted_yellow_concrete
chipped:yellow_concrete_12,chipped:reinforced_yellow_concrete
chipped:yellow_concrete_13,chipped:bolted_yellow_concrete
chipped:yellow_concrete_14,chipped:railed_yellow_concrete
chipped:yellow_concrete_15,chipped:grill_yellow_concrete
chipped:yellow_concrete_16,chipped:wired_yellow_concrete
chipped:yellow_concrete_17,chipped:stop_yellow_concrete
chipped:yellow_concrete_18,chipped:mosaic_yellow_concrete
chipped:yellow_concrete_19,chipped:striped_yellow_concrete
chipped:yellow_concrete_20,chipped:smooth_yellow_concrete
chipped:yellow_concrete_21,chipped:framed_yellow_concrete
